0,1,2,3,4,5,target
-5.0,0.565,5.1,3.94,3.51,0.3,3.85
0.0,0.53,4.78,3.75,3.15,0.3,3.7
0.0,0.53,4.78,3.75,3.15,0.175,0.59
-2.2,0.546,4.78,4.13,3.07,0.125,0.15
-2.3,0.6,4.34,4.23,2.73,0.35,8.47
-2.4,0.585,4.78,3.84,3.32,0.325,5.79
-2.3,0.53,4.34,2.81,3.15,0.375,13.96
-2.2,0.546,4.78,4.13,3.07,0.375,12.76
-2.3,0.53,4.76,3.68,3.16,0.35,7.51
-2.3,0.565,4.78,5.35,2.76,0.25,1.99
-2.3,0.568,4.78,3.99,3.17,0.175,0.47
-2.3,0.569,4.78,3.04,3.64,0.45,51.8
0.0,0.6,4.78,4.24,3.15,0.45,51.5
-5.0,0.565,5.1,3.94,3.51,0.325,5.27
-5.0,0.53,4.78,3.75,3.15,0.125,0.09
-2.4,0.568,4.34,2.98,3.15,0.35,6.86
-2.3,0.564,5.1,3.95,3.53,0.375,12.86
0.0,0.565,4.77,3.99,3.15,0.4,24.13
0.0,0.6,4.78,4.24,3.15,0.275,3.35
-2.3,0.53,5.11,3.69,3.51,0.325,4.42
-2.3,0.569,4.78,3.04,3.64,0.125,0.04
-2.3,0.562,5.14,4.95,3.17,0.275,3.09
-2.4,0.574,4.36,3.96,2.76,0.2,0.93
-5.0,0.565,5.1,3.94,3.51,0.125,0.08
-2.3,0.562,5.14,4.95,3.17,0.375,12.8
-5.0,0.53,4.78,3.75,3.15,0.2,0.78
-2.3,0.53,4.34,2.81,3.15,0.25,1.43
0.0,0.53,4.78,3.75,3.15,0.25,1.94
-2.4,0.585,4.78,3.84,3.32,0.275,2.91
-2.3,0.53,5.11,3.69,3.51,0.175,0.46
-2.3,0.6,5.1,4.17,3.51,0.125,0.01
-2.3,0.562,5.14,4.95,3.17,0.175,0.7
-2.3,0.6,4.34,4.23,2.73,0.2,0.64
-5.0,0.6,4.78,4.24,3.15,0.325,6.2
-5.0,0.53,4.78,3.75,3.15,0.375,13.73
-5.0,0.6,4.78,4.24,3.15,0.375,12.49
-2.3,0.564,5.1,3.95,3.53,0.425,33.97
-2.3,0.53,4.76,3.68,3.16,0.325,4.41
-2.4,0.574,4.36,3.96,2.76,0.4,21.51
0.0,0.565,4.77,3.99,3.15,0.2,0.79
-5.0,0.565,5.1,3.94,3.51,0.175,0.45
0.0,0.565,4.77,3.99,3.15,0.425,38.12
-2.3,0.564,5.1,3.95,3.53,0.325,5.19
0.0,0.565,4.77,3.99,3.15,0.15,0.24
0.0,0.565,5.1,3.94,3.51,0.275,2.68
-2.3,0.53,4.34,2.81,3.15,0.45,62.42
-5.0,0.565,5.1,3.94,3.51,0.275,2.59
0.0,0.565,4.77,3.99,3.15,0.275,2.88
-2.3,0.565,4.78,5.35,2.76,0.375,13.08
-2.3,0.564,5.1,3.95,3.53,0.275,2.83
0.0,0.53,4.78,3.75,3.15,0.4,27.34
0.0,0.565,4.77,3.99,3.15,0.25,1.96
0.0,0.6,4.78,4.24,3.15,0.425,34.62
-5.0,0.6,4.78,4.24,3.15,0.3,4.34
0.0,0.53,4.78,3.75,3.15,0.225,1.37
-2.3,0.6,4.34,4.23,2.73,0.425,30.48
-2.3,0.6,4.34,4.23,2.73,0.325,6.0
-5.0,0.53,4.78,3.75,3.15,0.4,23.55
-2.4,0.568,4.34,2.98,3.15,0.4,20.63
0.0,0.565,5.1,3.94,3.51,0.375,14.24
-2.4,0.585,4.78,3.84,3.32,0.375,12.15
-2.4,0.574,4.36,3.96,2.76,0.375,12.86
-5.0,0.565,5.1,3.94,3.51,0.4,20.91
0.0,0.565,5.1,3.94,3.51,0.125,0.08
-2.3,0.562,5.14,4.95,3.17,0.2,1.07
-2.3,0.564,5.1,3.95,3.53,0.225,1.37
0.0,0.53,4.78,3.75,3.15,0.45,60.85
-2.3,0.564,5.1,3.95,3.53,0.4,21.51
-5.0,0.6,4.78,4.24,3.15,0.225,1.13
0.0,0.565,5.1,3.94,3.51,0.4,23.05
-2.3,0.53,5.11,3.69,3.51,0.275,2.17
-2.3,0.53,4.76,3.68,3.16,0.425,37.38
0.0,0.565,5.1,3.94,3.51,0.25,1.9
-5.0,0.565,5.1,3.94,3.51,0.425,33.23
-5.0,0.565,4.77,3.99,3.15,0.275,2.77
-5.0,0.6,4.78,4.24,3.15,0.275,2.84
-2.2,0.546,4.78,4.13,3.07,0.325,4.83
0.0,0.6,4.78,4.24,3.15,0.225,1.3
-2.4,0.585,4.78,3.84,3.32,0.425,30.09
-5.0,0.6,4.78,4.24,3.15,0.25,1.85
-2.3,0.569,4.78,3.04,3.64,0.325,4.61
-5.0,0.565,4.77,3.99,3.15,0.45,51.77
-2.3,0.6,5.1,4.17,3.51,0.4,20.14
-5.0,0.6,4.78,4.24,3.15,0.125,0.06
-5.0,0.565,5.1,3.94,3.51,0.45,49.14
0.0,0.6,4.78,4.24,3.15,0.175,0.4
-5.0,0.565,5.1,3.94,3.51,0.375,12.4
-2.3,0.569,4.78,3.04,3.64,0.375,11.99
-2.3,0.53,4.34,2.81,3.15,0.425,41.34
-2.3,0.562,5.14,4.95,3.17,0.15,0.44
-2.3,0.564,5.1,3.95,3.53,0.15,0.35
-2.3,0.6,5.1,4.17,3.51,0.375,12.39
-2.4,0.568,4.34,2.98,3.15,0.425,34.5
-5.0,0.6,4.78,4.24,3.15,0.35,8.62
-2.3,0.53,5.11,3.69,3.51,0.25,1.57
-2.4,0.585,4.78,3.84,3.32,0.2,0.97
-5.0,0.6,4.78,4.24,3.15,0.45,50.94
-2.3,0.53,5.11,3.69,3.51,0.375,14.11
-2.3,0.53,4.76,3.68,3.16,0.275,2.28
-5.0,0.565,4.77,3.99,3.15,0.425,34.58
-2.3,0.6,5.1,4.17,3.51,0.275,3.04
-2.3,0.53,5.11,3.69,3.51,0.3,2.98
-2.3,0.53,5.11,3.69,3.51,0.125,0.08
0.0,0.53,4.78,3.75,3.15,0.125,0.16
-2.2,0.546,4.78,4.13,3.07,0.175,0.55
