0,1,2,3,4,5,target
-5.0,0.565,5.1,3.94,3.51,0.225,1.19
-5.0,0.6,4.78,4.24,3.15,0.275,2.84
0.0,0.6,4.78,4.24,3.15,0.15,0.18
0.0,0.565,4.77,3.99,3.15,0.125,0.11
-5.0,0.53,4.78,3.75,3.15,0.225,1.21
-2.3,0.565,4.78,5.35,2.76,0.2,0.86
-2.3,0.562,5.14,4.95,3.17,0.375,12.8
-5.0,0.565,5.1,3.94,3.51,0.4,20.91
-5.0,0.565,4.77,3.99,3.15,0.25,1.83
-2.3,0.53,4.34,2.81,3.15,0.2,0.63
-2.3,0.564,5.1,3.95,3.53,0.375,12.86
-2.4,0.585,4.78,3.84,3.32,0.25,1.98
-2.4,0.568,4.34,2.98,3.15,0.225,1.09
-2.3,0.53,5.11,3.69,3.51,0.425,37.95
0.0,0.53,4.78,3.75,3.15,0.325,5.45
-2.3,0.569,4.78,3.04,3.64,0.325,4.61
-5.0,0.53,4.78,3.75,3.15,0.15,0.24
-2.4,0.585,4.78,3.84,3.32,0.325,5.79
-2.3,0.562,5.14,4.95,3.17,0.225,1.57
0.0,0.53,4.78,3.75,3.15,0.2,0.92
-5.0,0.53,4.78,3.75,3.15,0.45,55.87
-2.3,0.53,4.34,2.81,3.15,0.15,0.17
-2.3,0.565,4.78,5.35,2.76,0.175,0.56
0.0,0.53,4.78,3.75,3.15,0.275,2.62
-5.0,0.565,5.1,3.94,3.51,0.275,2.59
-5.0,0.6,4.78,4.24,3.15,0.125,0.06
0.0,0.6,4.78,4.24,3.15,0.45,51.5
-2.3,0.53,5.11,3.69,3.51,0.3,2.98
0.0,0.565,4.77,3.99,3.15,0.275,2.88
-2.3,0.568,4.78,3.99,3.17,0.15,0.27
0.0,0.6,4.78,4.24,3.15,0.225,1.3
-2.3,0.53,4.34,2.81,3.15,0.275,2.05
-2.4,0.574,4.36,3.96,2.76,0.2,0.93
-2.3,0.6,4.34,4.23,2.73,0.2,0.64
0.0,0.53,4.78,3.75,3.15,0.425,41.77
-2.3,0.53,4.76,3.68,3.16,0.2,0.76
-2.3,0.568,4.78,3.99,3.17,0.35,7.16
0.0,0.565,5.1,3.94,3.51,0.275,2.68
-2.3,0.6,4.34,4.23,2.73,0.125,0.04
-2.3,0.53,4.76,3.68,3.16,0.175,0.47
0.0,0.565,5.1,3.94,3.51,0.45,51.99
-5.0,0.565,4.77,3.99,3.15,0.15,0.18
-2.3,0.565,4.78,5.35,2.76,0.45,50.14
-2.4,0.574,4.36,3.96,2.76,0.425,33.97
-2.3,0.562,5.14,4.95,3.17,0.175,0.7
-5.0,0.53,4.78,3.75,3.15,0.3,3.69
0.0,0.6,4.78,4.24,3.15,0.4,23.15
-2.3,0.6,4.34,4.23,2.73,0.225,1.02
-2.3,0.53,5.11,3.69,3.51,0.25,1.57
-2.4,0.574,4.36,3.96,2.76,0.225,1.37
-2.3,0.565,4.78,5.35,2.76,0.325,5.54
-2.3,0.569,4.78,3.04,3.64,0.25,1.59
-2.3,0.562,5.14,4.95,3.17,0.275,3.09
-2.3,0.562,5.14,4.95,3.17,0.425,32.34
0.0,0.6,4.78,4.24,3.15,0.25,2.16
-2.3,0.562,5.14,4.95,3.17,0.35,8.28
0.0,0.6,4.78,4.24,3.15,0.2,0.73
-2.3,0.53,4.34,2.81,3.15,0.325,3.87
-2.3,0.569,4.78,3.04,3.64,0.375,11.99
0.0,0.53,4.78,3.75,3.15,0.35,9.45
-5.0,0.6,4.78,4.24,3.15,0.4,20.41
-2.2,0.546,4.78,4.13,3.07,0.325,4.83
-2.3,0.6,4.34,4.23,2.73,0.275,2.63
0.0,0.6,4.78,4.24,3.15,0.275,3.35
0.0,0.565,5.1,3.94,3.51,0.175,0.5
-2.3,0.53,4.76,3.68,3.16,0.275,2.28
0.0,0.565,4.77,3.99,3.15,0.2,0.79
-2.4,0.585,4.78,3.84,3.32,0.225,1.36
-2.4,0.585,4.78,3.84,3.32,0.2,0.97
-5.0,0.565,4.77,3.99,3.15,0.425,34.58
-2.3,0.568,4.78,3.99,3.17,0.275,2.61
-2.3,0.562,5.14,4.95,3.17,0.15,0.44
0.0,0.53,4.78,3.75,3.15,0.125,0.16
-2.3,0.53,4.76,3.68,3.16,0.15,0.23
-2.3,0.569,4.78,3.04,3.64,0.175,0.37
0.0,0.565,4.77,3.99,3.15,0.175,0.49
-5.0,0.565,4.77,3.99,3.15,0.375,12.71
-2.4,0.585,4.78,3.84,3.32,0.275,2.91
-2.3,0.568,4.78,3.99,3.17,0.225,1.18
-2.4,0.568,4.34,2.98,3.15,0.2,0.69
-5.0,0.53,4.78,3.75,3.15,0.25,1.85
-5.0,0.565,5.1,3.94,3.51,0.425,33.23
-2.3,0.564,5.1,3.95,3.53,0.15,0.35
-5.0,0.565,5.1,3.94,3.51,0.175,0.45
-2.3,0.53,5.11,3.69,3.51,0.2,0.75
-2.3,0.564,5.1,3.95,3.53,0.275,2.83
-2.3,0.568,4.78,3.99,3.17,0.325,4.99
-2.4,0.585,4.78,3.84,3.32,0.175,0.64
-2.3,0.53,5.11,3.69,3.51,0.45,55.17
-5.0,0.53,4.78,3.75,3.15,0.175,0.47
-5.0,0.6,4.78,4.24,3.15,0.225,1.13
-2.3,0.53,4.34,2.81,3.15,0.35,7.19
-2.3,0.565,4.78,5.35,2.76,0.3,4.21
-5.0,0.565,4.77,3.99,3.15,0.45,51.77
0.0,0.565,4.77,3.99,3.15,0.35,9.07
-5.0,0.53,4.78,3.75,3.15,0.325,5.07
-2.3,0.6,5.1,4.17,3.51,0.25,1.96
-2.3,0.6,5.1,4.17,3.51,0.2,0.73
-2.3,0.568,4.78,3.99,3.17,0.125,0.11
-5.0,0.6,4.78,4.24,3.15,0.175,0.34
-2.2,0.546,4.78,4.13,3.07,0.35,7.37
0.0,0.6,4.78,4.24,3.15,0.3,5.06
-2.3,0.565,4.78,5.35,2.76,0.125,0.09
-2.3,0.565,4.78,5.35,2.76,0.425,33.14
-5.0,0.53,4.78,3.75,3.15,0.275,2.62
-5.0,0.565,4.77,3.99,3.15,0.3,4.12
0.0,0.6,4.78,4.24,3.15,0.325,7.14
-2.3,0.562,5.14,4.95,3.17,0.125,0.28
0.0,0.53,4.78,3.75,3.15,0.25,1.94
-2.3,0.6,4.34,4.23,2.73,0.4,19.59
0.0,0.565,5.1,3.94,3.51,0.2,0.83
-2.3,0.568,4.78,3.99,3.17,0.425,32.75
-5.0,0.53,4.78,3.75,3.15,0.35,7.95
-2.3,0.569,4.78,3.04,3.64,0.425,35.01
-5.0,0.6,4.78,4.24,3.15,0.15,0.15
0.0,0.565,4.77,3.99,3.15,0.325,5.96
-2.3,0.569,4.78,3.04,3.64,0.3,3.29
0.0,0.53,4.78,3.75,3.15,0.3,3.7
-2.2,0.546,4.78,4.13,3.07,0.225,1.24
-2.3,0.6,5.1,4.17,3.51,0.3,4.46
-5.0,0.565,4.77,3.99,3.15,0.325,5.41
-2.3,0.565,4.78,5.35,2.76,0.35,8.25
-2.2,0.546,4.78,4.13,3.07,0.425,35.64
-2.3,0.562,5.14,4.95,3.17,0.3,4.09
-2.3,0.6,4.34,4.23,2.73,0.175,0.36
