0,1,2,3,4,5,target
-2.3,0.6,4.34,4.23,2.73,0.425,30.48
-5.0,0.565,4.77,3.99,3.15,0.35,7.87
-5.0,0.53,4.78,3.75,3.15,0.425,37.14
-2.3,0.6,4.34,4.23,2.73,0.35,8.47
-2.4,0.574,4.36,3.96,2.76,0.375,12.86
-2.3,0.569,4.78,3.04,3.64,0.275,2.33
-2.4,0.568,4.34,2.98,3.15,0.175,0.43
-2.3,0.565,4.78,5.35,2.76,0.425,33.14
-5.0,0.565,4.77,3.99,3.15,0.325,5.41
0.0,0.53,4.78,3.75,3.15,0.4,27.34
0.0,0.53,4.78,3.75,3.15,0.35,9.45
0.0,0.565,4.77,3.99,3.15,0.175,0.49
-2.3,0.568,4.78,3.99,3.17,0.425,32.75
-2.3,0.6,5.1,4.17,3.51,0.25,1.96
-2.3,0.564,5.1,3.95,3.53,0.45,50.36
0.0,0.6,4.78,4.24,3.15,0.2,0.73
-2.3,0.6,5.1,4.17,3.51,0.275,3.04
-2.4,0.568,4.34,2.98,3.15,0.325,4.62
-5.0,0.6,4.78,4.24,3.15,0.125,0.06
-2.3,0.53,4.76,3.68,3.16,0.15,0.23
-2.3,0.53,4.34,2.81,3.15,0.35,7.19
-2.2,0.546,4.78,4.13,3.07,0.45,53.07
-2.3,0.569,4.78,3.04,3.64,0.35,7.11
-2.4,0.568,4.34,2.98,3.15,0.375,11.56
0.0,0.53,4.78,3.75,3.15,0.45,60.85
-5.0,0.6,4.78,4.24,3.15,0.275,2.84
0.0,0.6,4.78,4.24,3.15,0.25,2.16
-2.3,0.53,4.34,2.81,3.15,0.175,0.35
0.0,0.565,5.1,3.94,3.51,0.15,0.26
0.0,0.565,5.1,3.94,3.51,0.45,51.99
-2.4,0.568,4.34,2.98,3.15,0.15,0.26
-2.3,0.568,4.78,3.99,3.17,0.325,4.99
-2.3,0.569,4.78,3.04,3.64,0.25,1.59
-5.0,0.565,4.77,3.99,3.15,0.275,2.77
-5.0,0.565,5.1,3.94,3.51,0.15,0.24
-2.4,0.585,4.78,3.84,3.32,0.35,8.04
-5.0,0.565,4.77,3.99,3.15,0.25,1.83
-5.0,0.565,5.1,3.94,3.51,0.175,0.45
0.0,0.565,5.1,3.94,3.51,0.275,2.68
-2.4,0.585,4.78,3.84,3.32,0.275,2.91
-2.3,0.6,5.1,4.17,3.51,0.225,1.24
-5.0,0.565,4.77,3.99,3.15,0.2,0.7
-2.3,0.568,4.78,3.99,3.17,0.2,0.78
-5.0,0.53,4.78,3.75,3.15,0.275,2.62
-2.3,0.569,4.78,3.04,3.64,0.15,0.17
-2.3,0.53,4.76,3.68,3.16,0.25,1.65
0.0,0.565,5.1,3.94,3.51,0.175,0.5
-5.0,0.53,4.78,3.75,3.15,0.35,7.95
0.0,0.565,5.1,3.94,3.51,0.225,1.28
-2.3,0.564,5.1,3.95,3.53,0.275,2.83
-5.0,0.53,4.78,3.75,3.15,0.3,3.69
-2.3,0.53,4.34,2.81,3.15,0.45,62.42
-2.3,0.568,4.78,3.99,3.17,0.45,49.49
-2.4,0.574,4.36,3.96,2.76,0.2,0.93
0.0,0.53,4.78,3.75,3.15,0.175,0.59
-2.3,0.565,4.78,5.35,2.76,0.275,2.94
0.0,0.565,4.77,3.99,3.15,0.3,4.14
-2.3,0.53,5.11,3.69,3.51,0.15,0.25
-5.0,0.565,5.1,3.94,3.51,0.275,2.59
-2.3,0.562,5.14,4.95,3.17,0.125,0.28
-5.0,0.6,4.78,4.24,3.15,0.35,8.62
-5.0,0.6,4.78,4.24,3.15,0.45,50.94
0.0,0.565,4.77,3.99,3.15,0.275,2.88
-5.0,0.565,4.77,3.99,3.15,0.425,34.58
-2.4,0.585,4.78,3.84,3.32,0.15,0.38
-2.3,0.564,5.1,3.95,3.53,0.425,33.97
-2.3,0.53,4.34,2.81,3.15,0.15,0.17
-2.3,0.53,5.11,3.69,3.51,0.275,2.17
-2.3,0.564,5.1,3.95,3.53,0.2,0.93
-2.3,0.565,4.78,5.35,2.76,0.45,50.14
0.0,0.53,4.78,3.75,3.15,0.425,41.77
-2.3,0.564,5.1,3.95,3.53,0.25,1.97
-2.3,0.568,4.78,3.99,3.17,0.4,20.11
-2.3,0.6,5.1,4.17,3.51,0.175,0.39
-2.3,0.562,5.14,4.95,3.17,0.3,4.09
-5.0,0.53,4.78,3.75,3.15,0.125,0.09
-2.3,0.565,4.78,5.35,2.76,0.375,13.08
-2.3,0.53,4.76,3.68,3.16,0.4,23.96
-2.3,0.53,4.34,2.81,3.15,0.325,3.87
-2.2,0.546,4.78,4.13,3.07,0.25,1.76
-2.3,0.53,4.76,3.68,3.16,0.175,0.47
-2.3,0.6,4.34,4.23,2.73,0.3,4.15
-5.0,0.565,4.77,3.99,3.15,0.125,0.07
-2.3,0.53,4.76,3.68,3.16,0.225,1.15
-5.0,0.6,4.78,4.24,3.15,0.15,0.15
-2.4,0.568,4.34,2.98,3.15,0.125,0.12
-2.4,0.585,4.78,3.84,3.32,0.125,0.2
-2.3,0.53,4.76,3.68,3.16,0.35,7.51
-2.3,0.53,5.11,3.69,3.51,0.4,24.14
-2.3,0.562,5.14,4.95,3.17,0.4,20.41
-2.3,0.565,4.78,5.35,2.76,0.125,0.09
-2.4,0.568,4.34,2.98,3.15,0.4,20.63
-2.2,0.546,4.78,4.13,3.07,0.125,0.15
0.0,0.565,4.77,3.99,3.15,0.35,9.07
-2.3,0.562,5.14,4.95,3.17,0.425,32.34
-5.0,0.53,4.78,3.75,3.15,0.175,0.47
-2.3,0.53,4.34,2.81,3.15,0.2,0.63
-5.0,0.565,4.77,3.99,3.15,0.4,21.02
-5.0,0.53,4.78,3.75,3.15,0.45,55.87
-2.4,0.585,4.78,3.84,3.32,0.25,1.98
-2.3,0.6,4.34,4.23,2.73,0.4,19.59
-2.4,0.568,4.34,2.98,3.15,0.425,34.5
-2.2,0.546,4.78,4.13,3.07,0.35,7.37
-5.0,0.6,4.78,4.24,3.15,0.25,1.85
-2.3,0.568,4.78,3.99,3.17,0.25,1.82
-2.4,0.585,4.78,3.84,3.32,0.45,44.38
0.0,0.6,4.78,4.24,3.15,0.3,5.06
-2.4,0.585,4.78,3.84,3.32,0.2,0.97
-2.3,0.6,4.34,4.23,2.73,0.325,6.0
-2.4,0.574,4.36,3.96,2.76,0.45,50.36
0.0,0.6,4.78,4.24,3.15,0.275,3.35
-5.0,0.565,4.77,3.99,3.15,0.15,0.18
-2.4,0.568,4.34,2.98,3.15,0.275,2.46
-2.3,0.565,4.78,5.35,2.76,0.35,8.25
0.0,0.565,5.1,3.94,3.51,0.125,0.08
-2.3,0.562,5.14,4.95,3.17,0.175,0.7
-2.3,0.565,4.78,5.35,2.76,0.15,0.29
-2.3,0.53,4.76,3.68,3.16,0.425,37.38
-2.3,0.565,4.78,5.35,2.76,0.25,1.99
-2.3,0.565,4.78,5.35,2.76,0.325,5.54
-2.3,0.53,4.76,3.68,3.16,0.275,2.28
-2.2,0.546,4.78,4.13,3.07,0.275,2.49
-2.3,0.53,5.11,3.69,3.51,0.2,0.75
-2.2,0.546,4.78,4.13,3.07,0.4,21.99
-2.3,0.569,4.78,3.04,3.64,0.125,0.04
0.0,0.565,4.77,3.99,3.15,0.425,38.12
-2.3,0.565,4.78,5.35,2.76,0.225,1.31
-5.0,0.6,4.78,4.24,3.15,0.3,4.34
-5.0,0.6,4.78,4.24,3.15,0.325,6.2
-2.3,0.569,4.78,3.04,3.64,0.175,0.37
-5.0,0.565,4.77,3.99,3.15,0.375,12.71
-2.3,0.6,5.1,4.17,3.51,0.15,0.16
-2.3,0.6,4.34,4.23,2.73,0.2,0.64
0.0,0.565,4.77,3.99,3.15,0.15,0.24
-2.4,0.574,4.36,3.96,2.76,0.35,8.03
-2.4,0.585,4.78,3.84,3.32,0.425,30.09
-2.3,0.568,4.78,3.99,3.17,0.275,2.61
-2.3,0.53,5.11,3.69,3.51,0.125,0.08
-2.3,0.53,4.76,3.68,3.16,0.3,3.09
-5.0,0.565,4.77,3.99,3.15,0.225,1.14
-2.3,0.53,4.34,2.81,3.15,0.225,1.01
-5.0,0.565,5.1,3.94,3.51,0.25,1.76
-2.3,0.6,5.1,4.17,3.51,0.3,4.46
-2.3,0.6,5.1,4.17,3.51,0.125,0.01
-5.0,0.565,5.1,3.94,3.51,0.425,33.23
-2.4,0.574,4.36,3.96,2.76,0.225,1.37
-2.3,0.568,4.78,3.99,3.17,0.125,0.11
-2.4,0.568,4.34,2.98,3.15,0.2,0.69
-5.0,0.565,5.1,3.94,3.51,0.3,3.85
-2.3,0.53,5.11,3.69,3.51,0.35,7.84
-5.0,0.565,5.1,3.94,3.51,0.45,49.14
