0,1,2,3,4,5,6,7,8,target
150.3,111.4,238.8,167.3,6.5,999.5,670.5,14.5,36.5,38.19
160.2,0.3,240.0,233.5,9.2,781.0,841.1,24.0,75.0,36.19
165.3,143.2,238.3,200.4,7.1,883.2,652.6,17.0,27.0,32.84
248.0,101.0,239.9,169.1,7.7,949.9,644.1,2.0,20.0,50.23
313.0,124.0,0.0,205.0,11.0,846.0,758.0,22.0,49.0,29.63
273.0,82.0,105.0,210.0,9.0,904.0,680.0,23.0,62.0,34.99
160.0,0.0,250.0,168.0,12.0,1049.0,688.0,18.0,48.0,37.66
336.0,134.0,0.0,222.0,6.0,756.0,787.0,26.0,64.0,31.9
160.0,146.0,188.0,203.0,11.0,829.0,710.0,13.0,38.0,33.51
366.0,0.0,187.0,191.0,7.0,824.0,757.0,24.75,62.7,52.65
374.0,0.0,0.0,190.0,7.0,1013.0,730.0,14.5,42.5,32.44
280.0,92.0,118.0,207.0,9.0,883.0,679.0,25.5,64.0,37.39
342.0,136.0,0.0,225.0,11.0,770.0,747.0,21.0,61.0,32.04
163.0,149.0,191.0,180.0,12.0,843.0,746.0,0.0,20.0,41.14
159.0,0.0,248.0,175.0,12.0,1041.0,683.0,21.0,51.0,35.39
154.0,141.0,181.0,234.0,11.0,797.0,683.0,23.0,65.0,33.51
152.0,0.0,237.0,204.0,6.0,785.0,892.0,15.5,51.0,32.71
291.0,105.0,0.0,205.0,6.0,859.0,797.0,24.0,59.0,27.62
310.0,0.0,143.0,218.0,10.0,787.0,804.0,13.0,46.0,36.19
348.7,0.1,223.1,208.5,9.6,786.2,758.1,29.0,78.0,48.77
162.0,148.0,190.0,179.0,19.0,838.0,741.0,3.0,21.5,42.08
154.0,112.0,144.0,220.0,10.0,923.0,658.0,20.0,64.0,26.82
145.0,106.0,136.0,208.0,10.0,751.0,883.0,24.5,61.0,26.02
140.2,30.5,239.0,169.4,5.3,1028.4,742.7,21.25,46.0,36.32
156.0,0.0,243.0,180.0,11.0,1022.0,698.0,21.0,57.0,33.78
152.0,139.0,178.0,168.0,18.0,944.0,695.0,0.0,20.0,38.86
299.0,107.0,0.0,210.0,10.0,881.0,745.0,25.0,63.0,28.29
332.0,0.0,170.0,160.0,6.0,900.0,806.0,0.0,20.0,58.53
349.0,0.0,178.0,230.0,6.0,785.0,721.0,20.0,68.5,43.95
308.0,111.0,142.0,217.0,10.0,783.0,686.0,25.0,70.0,42.08
295.0,106.0,136.0,206.0,11.0,750.0,766.0,25.0,68.5,41.01
298.0,107.0,137.0,201.0,6.0,878.0,655.0,16.0,26.0,41.27
295.0,106.0,136.0,208.0,6.0,871.0,650.0,26.5,70.0,39.4
295.3,0.0,239.9,236.2,8.3,780.3,722.9,25.0,77.0,44.08
145.0,177.0,227.0,209.0,11.0,752.0,715.0,2.5,20.0,35.66
145.0,0.0,227.0,240.0,6.0,750.0,853.0,14.5,58.5,36.59
261.0,78.0,100.0,201.0,9.0,864.0,761.0,23.0,63.5,34.18
322.0,0.0,149.0,186.0,8.0,951.0,709.0,20.5,61.5,45.42
322.0,116.0,0.0,196.0,10.0,818.0,813.0,25.5,67.0,29.77
146.0,106.0,137.0,209.0,6.0,875.0,765.0,24.0,67.0,27.89
326.0,0.0,167.0,174.0,6.0,884.0,792.0,21.5,42.0,52.65
318.0,126.0,0.0,210.0,6.0,861.0,737.0,17.5,48.0,31.77
143.0,131.0,168.0,217.0,6.0,891.0,672.0,25.0,69.0,26.42
274.0,89.0,115.0,202.0,9.0,759.0,827.0,26.5,68.0,35.52
140.2,44.8,234.9,171.3,5.5,1047.6,704.0,23.5,52.5,33.78
278.0,0.0,117.0,205.0,9.0,875.0,799.0,19.0,48.0,32.71
287.0,94.0,121.0,188.0,9.0,904.0,696.0,25.0,61.0,43.01
148.0,109.0,139.0,193.0,7.0,768.0,902.0,23.75,58.0,28.03
320.0,127.0,164.0,211.0,6.0,721.0,723.0,2.0,20.0,46.36
142.0,130.0,167.0,215.0,6.0,735.0,836.0,25.5,67.0,31.37
305.0,100.0,0.0,196.0,10.0,959.0,705.0,20.0,49.0,29.77
159.0,193.0,0.0,208.0,12.0,821.0,818.0,23.0,50.0,19.19
149.0,109.0,139.0,193.0,6.0,892.0,780.0,23.5,58.5,28.7
215.6,112.9,239.0,198.7,7.4,884.0,649.1,27.5,64.0,39.13
320.0,0.0,163.0,188.0,9.0,866.0,776.0,23.5,60.0,45.69
296.0,97.0,0.0,219.0,9.0,932.0,685.0,15.0,48.5,29.23
137.0,167.0,214.0,226.0,6.0,708.0,757.0,27.5,70.0,34.45
142.0,130.0,167.0,174.0,11.0,883.0,785.0,0.0,20.0,36.72
140.1,4.2,215.9,193.9,4.7,1049.5,710.1,24.5,57.0,26.42
297.1,40.9,239.9,194.0,7.5,908.9,651.8,27.5,67.0,49.17
304.0,0.0,140.0,214.0,6.0,895.0,722.0,19.0,51.0,38.46
172.0,162.1,238.5,166.0,7.4,953.3,641.4,0.0,20.0,41.54
146.0,178.0,0.0,192.0,11.0,961.0,749.0,18.0,46.0,17.19
140.5,61.1,238.9,182.5,5.7,1017.7,681.4,24.5,60.0,30.97
194.3,0.3,240.0,234.2,8.9,780.6,811.3,26.5,78.0,38.46
184.3,153.4,239.2,179.0,7.5,920.2,640.9,0.0,20.0,41.01
140.0,128.0,164.0,237.0,6.0,869.0,656.0,24.0,65.0,29.5
309.0,0.0,142.0,218.0,10.0,912.0,680.0,24.0,62.0,38.59
310.0,0.0,143.0,168.0,10.0,914.0,804.0,20.5,48.2,49.3
