0,1,2,3,4,5,6,7,8,target
296.0,97.0,0.0,219.0,9.0,932.0,685.0,15.0,48.5,29.23
261.0,78.0,100.0,201.0,9.0,864.0,761.0,23.0,63.5,34.18
159.0,0.0,187.0,176.0,11.0,990.0,789.0,12.0,39.0,32.57
274.0,89.0,115.0,202.0,9.0,759.0,827.0,26.5,68.0,35.52
159.0,193.0,0.0,208.0,12.0,821.0,818.0,23.0,50.0,19.19
374.0,0.0,0.0,190.0,7.0,1013.0,730.0,14.5,42.5,32.44
295.3,0.0,239.9,236.2,8.3,780.3,722.9,25.0,77.0,44.08
321.0,0.0,164.0,190.0,5.0,870.0,774.0,24.0,60.0,45.82
153.0,0.0,239.0,200.0,6.0,1002.0,684.0,12.0,35.0,28.29
304.0,0.0,140.0,214.0,6.0,895.0,722.0,19.0,51.0,38.46
172.8,158.3,239.5,166.4,7.4,952.6,644.1,0.0,20.0,41.81
248.3,101.0,239.1,168.9,7.7,954.2,640.6,0.0,20.0,49.97
252.0,76.0,97.0,194.0,8.0,835.0,821.0,23.0,54.0,33.11
165.3,143.2,238.3,200.4,7.1,883.2,652.6,17.0,27.0,32.84
156.0,0.0,243.0,180.0,11.0,1022.0,698.0,21.0,57.0,33.78
159.0,116.0,149.0,175.0,15.0,953.0,720.0,23.5,54.5,34.05
145.0,106.0,136.0,208.0,10.0,751.0,883.0,24.5,61.0,26.02
332.0,0.0,170.0,160.0,6.0,900.0,806.0,0.0,20.0,58.53
303.8,0.2,239.8,236.4,8.3,780.1,715.3,25.0,78.0,44.48
145.0,0.0,227.0,240.0,6.0,750.0,853.0,14.5,58.5,36.59
305.0,100.0,0.0,196.0,10.0,959.0,705.0,20.0,49.0,29.77
148.0,109.0,139.0,193.0,7.0,768.0,902.0,23.75,58.0,28.03
349.0,0.0,178.0,230.0,6.0,785.0,721.0,20.0,68.5,43.95
159.0,0.0,248.0,175.0,12.0,1041.0,683.0,21.0,51.0,35.39
152.0,139.0,178.0,168.0,18.0,944.0,695.0,0.0,20.0,38.86
342.0,136.0,0.0,225.0,11.0,770.0,747.0,21.0,61.0,32.04
142.0,130.0,167.0,174.0,11.0,883.0,785.0,0.0,20.0,36.72
140.1,11.8,226.1,207.8,4.9,1020.9,683.8,21.0,64.0,26.28
366.0,0.0,187.0,191.0,7.0,824.0,757.0,24.75,62.7,52.65
310.0,0.0,143.0,168.0,10.0,914.0,804.0,20.5,48.2,49.3
140.1,4.2,215.9,193.9,4.7,1049.5,710.1,24.5,57.0,26.42
215.6,112.9,239.0,198.7,7.4,884.0,649.1,27.5,64.0,39.13
160.0,0.0,250.0,168.0,12.0,1049.0,688.0,18.0,48.0,37.66
148.0,180.0,0.0,183.0,11.0,972.0,757.0,0.0,20.0,18.52
160.0,146.0,188.0,203.0,11.0,829.0,710.0,13.0,38.0,33.51
297.1,40.9,239.9,194.0,7.5,908.9,651.8,27.5,67.0,49.17
275.0,99.0,127.0,184.0,13.0,810.0,790.0,25.75,64.5,43.54
194.3,0.3,240.0,234.2,8.9,780.6,811.3,26.5,78.0,38.46
308.0,111.0,142.0,217.0,10.0,783.0,686.0,25.0,70.0,42.08
147.0,89.0,115.0,202.0,9.0,860.0,829.0,23.0,55.0,25.21
166.0,0.0,260.0,183.0,13.0,859.0,827.0,21.0,54.0,40.34
278.0,0.0,117.0,205.0,9.0,875.0,799.0,19.0,48.0,32.71
137.0,167.0,214.0,226.0,6.0,708.0,757.0,27.5,70.0,34.45
160.2,0.3,240.0,233.5,9.2,781.0,841.1,24.0,75.0,36.19
145.0,177.0,227.0,209.0,11.0,752.0,715.0,2.5,20.0,35.66
288.0,0.0,121.0,177.0,7.0,908.0,829.0,22.5,48.5,39.93
152.0,0.0,237.0,204.0,6.0,785.0,892.0,15.5,51.0,32.71
146.0,106.0,137.0,209.0,6.0,875.0,765.0,24.0,67.0,27.89
313.0,124.0,0.0,205.0,11.0,846.0,758.0,22.0,49.0,29.63
280.0,92.0,118.0,207.0,9.0,883.0,679.0,25.5,64.0,37.39
287.0,94.0,121.0,188.0,9.0,904.0,696.0,25.0,61.0,43.01
310.0,0.0,143.0,218.0,10.0,787.0,804.0,13.0,46.0,36.19
172.0,162.1,238.5,166.0,7.4,953.3,641.4,0.0,20.0,41.54
291.0,104.0,0.0,231.0,9.0,857.0,725.0,23.0,69.0,30.43
318.0,126.0,0.0,210.0,6.0,861.0,737.0,17.5,48.0,31.77
294.0,106.0,136.0,207.0,6.0,747.0,778.0,24.0,47.0,41.27
184.3,153.4,239.2,179.0,7.5,920.2,640.9,0.0,20.0,41.01
155.4,122.1,240.0,179.9,6.7,966.8,652.5,14.5,41.5,35.52
163.0,149.0,191.0,180.0,12.0,843.0,746.0,0.0,20.0,41.14
162.0,148.0,190.0,179.0,19.0,838.0,741.0,3.0,21.5,42.08
248.0,101.0,239.9,169.1,7.7,949.9,644.1,2.0,20.0,50.23
146.0,178.0,0.0,192.0,11.0,961.0,749.0,18.0,46.0,17.19
295.0,106.0,136.0,208.0,6.0,871.0,650.0,26.5,70.0,39.4
141.1,0.6,209.5,188.8,4.6,996.1,789.2,23.5,53.0,30.43
150.3,111.4,238.8,167.3,6.5,999.5,670.5,14.5,36.5,38.19
298.0,107.0,0.0,186.0,6.0,879.0,815.0,3.0,20.0,30.97
149.0,109.0,139.0,193.0,6.0,892.0,780.0,23.5,58.5,28.7
320.0,127.0,164.0,211.0,6.0,721.0,723.0,2.0,20.0,46.36
348.7,0.1,223.1,208.5,9.6,786.2,758.1,29.0,78.0,48.77
295.0,106.0,136.0,206.0,11.0,750.0,766.0,25.0,68.5,41.01
307.0,110.0,0.0,189.0,10.0,904.0,765.0,22.0,40.0,31.5
