0,1,2,3,4,5,target
-2.4,0.585,4.78,3.84,3.32,0.425,30.09
-5.0,0.565,5.1,3.94,3.51,0.2,0.77
0.0,0.6,4.78,4.24,3.15,0.325,7.14
-5.0,0.565,4.77,3.99,3.15,0.15,0.18
-2.3,0.568,4.78,3.99,3.17,0.325,4.99
-2.3,0.562,5.14,4.95,3.17,0.2,1.07
-2.3,0.53,4.34,2.81,3.15,0.15,0.17
-2.3,0.568,4.78,3.99,3.17,0.275,2.61
0.0,0.6,4.78,4.24,3.15,0.2,0.73
-2.3,0.568,4.78,3.99,3.17,0.425,32.75
-2.3,0.6,4.34,4.23,2.73,0.35,8.47
-2.3,0.6,5.1,4.17,3.51,0.4,20.14
0.0,0.565,4.77,3.99,3.15,0.225,1.28
-2.4,0.574,4.36,3.96,2.76,0.375,12.86
-2.3,0.53,4.34,2.81,3.15,0.375,13.96
-2.4,0.574,4.36,3.96,2.76,0.2,0.93
-2.3,0.53,4.76,3.68,3.16,0.225,1.15
0.0,0.53,4.78,3.75,3.15,0.275,2.62
-2.3,0.565,4.78,5.35,2.76,0.225,1.31
-5.0,0.565,4.77,3.99,3.15,0.45,51.77
-5.0,0.6,4.78,4.24,3.15,0.25,1.85
0.0,0.565,4.77,3.99,3.15,0.275,2.88
-2.4,0.574,4.36,3.96,2.76,0.35,8.03
-2.3,0.6,5.1,4.17,3.51,0.3,4.46
0.0,0.565,5.1,3.94,3.51,0.25,1.9
-5.0,0.565,4.77,3.99,3.15,0.25,1.83
-2.3,0.53,5.11,3.69,3.51,0.15,0.25
-2.3,0.6,5.1,4.17,3.51,0.375,12.39
0.0,0.6,4.78,4.24,3.15,0.3,5.06
-2.3,0.569,4.78,3.04,3.64,0.275,2.33
-5.0,0.6,4.78,4.24,3.15,0.15,0.15
-2.3,0.53,4.34,2.81,3.15,0.175,0.35
0.0,0.565,5.1,3.94,3.51,0.275,2.68
-2.3,0.53,4.76,3.68,3.16,0.325,4.41
-5.0,0.53,4.78,3.75,3.15,0.175,0.47
-5.0,0.565,4.77,3.99,3.15,0.175,0.4
-2.3,0.53,4.34,2.81,3.15,0.35,7.19
-2.3,0.565,4.78,5.35,2.76,0.375,13.08
-2.4,0.585,4.78,3.84,3.32,0.375,12.15
-2.3,0.569,4.78,3.04,3.64,0.175,0.37
-2.4,0.574,4.36,3.96,2.76,0.325,5.19
